Object,RA,DEC,Class
AM 0012-573,00 12 48,-57 31.5,PRG
AM 0016-575,00 16 43,-57 55.4,PRG
AM 0034-351,00 34 38,-35 12.9,PRG
AM 0035-335,00 35 14,-33 59.4,PRG
AM 0036-391,00 36 18,-39 14.4,PRG
AM 0041-390,00 41 01,-39 01.8,PRG
AM 0042-563,00 42 46,-56 39.2,PRG
AM 0044-243,00 44 40,-24 38.7,PRG
AM 0045-314,00 45 02,-31 41.9,PRG
AM 0051-272,00 53 59.1525,-27 08 36.820,PRG
AM 0053-353,00 53 57,-35 31.3,PRG
AM 0054-634,00 54 40,-63 44.8,PRG
AM 0058-311,00 58 20,-31 12.0,PRG
AM 0058-220,00 58 21,-22 01.3,PRG
AM 0058-665,00 58 21,-66 53.3,PRG
AM 0102-610,01 02 56,-61 04.8,PRG
AM 0103-304,01 03 47,-30 44.5,PRG
AM 0106-472,01 06 10,-47 21.9,PRG
AM 0113-324,01 13 34,-32 44.6,PRG
AM 0115-463,01 15 59,-46 30.2,PRG
AM 0117-520,01 17 23,-52 02.5,PRG
AM 0119-340,01 19 00,-34 06.1,PRG
AM 0126-680,01 26 21,-68 06.5,PRG
AM 0126-525,01 26 27,-52 53.5,PRG
AM 0131-434,01 31 31,-43 49.7,PRG
AM 0141-362,01 41 31,-36 20.4,PRG
AM 0144-583,01 44 54,-58 30.6,PRG
AM 0146-321,01 46 48,-32 14.8,PRG
AM 0147-350,01 47 31,-35 05.1,PRG
AM 0147-561,01 47 40,-56 18.0,PRG
AM 0154-353,01 54 56,-35 33.5,PRG
AM 0155-815,01 55 02,-81 53.0,PRG
AM 0157-311,01 57 24,-31 15.8,PRG
AM 0200-581,02 00 11,-58 11.2,PRG
AM 0203-325,02 03 33,-32 55.0,PRG
AM 0207-374,02 07 37,-37 47.2,PRG
AM 0215-485,02 15 25,-48 56.4,PRG
AM 0226-320,02 26 11,-32 06.2,PRG
AM 0227-484,02 27 29,-48 42.8,PRG
AM 0229-444,02 29 45,-44 44.9,PRG
AM 0230-581,02 30 08,-58 14.2,PRG
AM 0236-310,02 36 38,-31 01.5,PRG
AM 0236-273,02 36 51,-27 39.7,PRG
AM 0240-242,02 40 17,-24 26.6,PRG
AM 0241-424,02 41 23,-42 47.1,PRG
AM 0302-273,03 02 59,-27 31.8,PRG
AM 0304-255,03 04 36,-25 54.4,PRG
AM 0305-824,03 05 27,-82 47.3,PRG
AM 0310-252,03 10 03,-25 23.4,PRG
AM 0318-610,03 18 36,-61 07.4,PRG
AM 0319-542,03 19 17,-54 28.4,PRG
AM 0322-374,03 22 01,-37 41.4,PRG
AM 0329-715,03 29 54,-71 55.4,PRG
AM 0330-324,03 30 47,-32 49.6,PRG
AM 0332-305,03 32 15,-30 53.9,PRG
AM 0334-460,03 34 58,-46 07.5,PRG
AM 0339-625,03 39 52,-62 56.5,PRG
AM 0341-360,03 41 43,-36 00.7,PRG
AM 0343-383,03 43 13,-38 32.3,PRG
AM 0345-335,03 45 08,-33 52.2,PRG
AM 0346-570,03 46 36,-57 06.5,PRG
AM 0352-360,03 52 37,-36 06.8,PRG
AM 0401-641,04 01 09,-64 14.1,PRG
AM 0403-555,04 03 10,-55 54.6,PRG
AM 0403-702,04 03 10,-70 23.5,PRG
AM 0404-271,04 04 25,-27 17.4,PRG
AM 0411-575,04 11 45,-57 52.0,PRG
AM 0413-590,04 13 33,-59 05.4,PRG
AM 0413-380,04 13 38,-38 08.6,PRG
AM 0414-491,04 14 44,-49 18.7,PRG
AM 0415-475,04 15 03,-47 58.5,PRG
AM 0417-391,04 17 55,-39 17.5,PRG
AM 0420-440,04 20 35,-44 05.4,PRG
AM 0422-473,04 22 53,-47 38.4,PRG
AM 0425-421,04 25 03,-42 13.4,PRG
