,Object,RA,DEC,Class
0,AM 0012-573,00 15 16.4100,-57 14 40.800,PRG
1,AM 0016-575,00 19 09.3000,-57 38 29.600,PRG
2,AM 0034-351,00 37 04.6600,-34 56 24.400,PRG
3,AM 0035-335,00 37 41.1100,-33 42 58.800,PRG
4,AM 0036-391,00 36 18,-39 14.4,PRG
5,AM 0041-390,00 43 25.3800,-38 45 25.700,PRG
6,AM 0042-563,00 44 59.1400,-56 22 47.900,PRG
7,AM 0044-243,00 47 07.5300,-24 22 14.500,PRG
8,AM 0045-314,00 47 27.6100,-31 25 18.300,PRG
9,AM 0051-272,00 53 59.1525,-27 08 36.820,PRG
10,AM 0053-353,00 56 19.5500,-35 14 52.200,PRG
11,AM 0054-634,00 56 48.4000,-63 29 05.000,PRG
12,AM 0058-311,01 00 44.6000,-30 55 49.100,PRG
13,AM 0058-220,01 00 47.4000,-21 43 25.000,PRG
14,AM 0058-665,01 00 15.2300,-66 37 06.600,PRG
15,AM 0102-610,01 04 56.3180,-60 48 58.583,PRG
16,AM 0103-304,01 06 10.3300,-30 28 29.300,PRG
17,AM 0106-472,01 08 22.8545,-47 05 54.329,PRG
18,AM 0113-324,01 15 53.9200,-32 28 38.900,PRG
19,AM 0115-463,01 18 10.1300,-46 14 32.400,PRG
20,AM 0117-520,01 19 28.4400,-51 46 47.700,PRG
21,AM 0119-340,01 21 17.4100,-33 50 23.000,PRG
22,AM 0126-680,01 28 02.9300,-67 50 36.600,PRG
23,AM 0126-525,01 28 25.3300,-52 38 09.300,PRG
24,AM 0131-434,01 31 31,-43 49.7,PRG
25,AM 0141-362,01 43 44.3900,-36 05 19.800,PRG
26,AM 0144-583,01 46 34.0400,-58 15 29.800,PRG
27,AM 0146-321,01 49 04.5800,-31 59 46.800,PRG
28,AM 0147-350,01 49 43.7000,-34 49 51.900,PRG
29,AM 0147-561,01 49 27.9500,-56 03 12.200,PRG
30,AM 0154-353,01 57 09.0000,-35 18 48.400,PRG
31,AM 0155-815,01 52 41.9400,-81 37 52.000,PRG
32,AM 0157-311,01 59 39.5300,-31 01 13.100,PRG
