,Object,RA,DEC,Class
0,SPRC 1,00 09 11.58,-00 36 54.7,PRG
1,SPRC 2,00 26 41.51,+25 51 01.7,PRG
2,SPRC 3,00 41 03.44,-09 56 28.1,PRG
3,SPRC 4,02 42 58.43,-00 57 09.2,PRG
4,SPRC 5,03 44 26.15,-05 42 09.6,PRG
5,SPRC 6,07 50 41.63,+50 57 40.1,PRG
6,SPRC 7,07 52 34.32,+29 20 49.7,PRG
7,SPRC 8,07 55 39.63,+18 35 27.3,PRG
8,SPRC 9,08 12 57.83,+22 25 30.0,PRG
9,SPRC 10,08 20 38.19,+15 36 59.8,PRG
10,SPRC 11,08 48 32.01,+32 20 12.5,PRG
11,SPRC 12,09 01 50.14,+52 12 22.6,PRG
12,SPRC 13,09 14 53.66,+49 38 24.0,PRG
13,SPRC 14,09 18 15.97,+20 22 05.3,PRG
14,SPRC 15,09 36 34.63,+21 13 57.8,PRG
15,SPRC 16,09 42 07.35,+36 24 17.2,PRG
16,SPRC 17,09 59 11.85,+16 28 41.5,PRG
17,SPRC 18,10 08 42.82,+14 22 02.1,PRG
18,SPRC 19,10 17 17.50,+41 05 57.7,PRG
19,SPRC 20,10 26 00.41,+04 14 33.0,PRG
20,SPRC 21,10 28 58.56,+31 33 42.2,PRG
21,SPRC 22,10 41 55.66,+07 45 13.9,PRG
22,SPRC 23,10 46 23.65,+06 37 10.1,PRG
23,SPRC 24,11 16 25.11,+56 50 17.0,PRG
24,SPRC 25,11 24 53.65,+21 53 48.9,PRG
25,SPRC 26,11 40 05.50,+06 04 43.7,PRG
26,SPRC 27,11 44 44.02,+23 09 45.0,PRG
27,SPRC 28,11 52 28.30,+05 00 44.7,PRG
28,SPRC 29,11 53 33.56,+47 19 07.3,PRG
29,SPRC 30,12 07 12.69,+07 39 44.5,PRG
30,SPRC 31,12 17 11.51,+31 30 37.8,PRG
31,SPRC 32,12 19 24.16,+64 37 54.0,PRG
32,SPRC 33,12 19 30.57,+14 52 39.5,PRG
33,SPRC 34,12 25 59.80,+15 42 08.5,PRG
34,SPRC 35,12 44 14.99,+17 00 49.2,PRG
35,SPRC 36,12 52 17.80,+12 06 30.3,PRG
36,SPRC 37,12 53 09.76,+49 48 32.5,PRG
37,SPRC 38,13 08 14.92,+28 44 07.5,PRG
38,SPRC 39,13 08 16.92,+45 22 35.2,PRG
39,SPRC 40,13 11 31.46,+36 16 54.6,PRG
40,SPRC 41,13 25 33.22,+27 22 46.7,PRG
41,SPRC 42,13 39 04.59,+02 09 49.5,PRG
42,SPRC 43,13 41 34.83,+37 26 25.7,PRG
43,SPRC 44,13 45 06.11,+27 30 14.3,PRG
44,SPRC 45,13 52 39.38,+01 06 09.1,PRG
45,SPRC 46,13 55 00.36,+24 10 05.7,PRG
46,SPRC 47,13 59 41.70,+25 00 46.1,PRG
47,SPRC 48,14 14 20.82,+27 28 04.4,PRG
48,SPRC 49,14 14 46.25,+30 25 17.8,PRG
49,SPRC 50,14 15 59.68,+19 24 30.6,PRG
50,SPRC 51,14 18 16.05,+20 31 34.3,PRG
51,SPRC 52,14 18 25.60,+25 30 06.7,PRG
52,SPRC 53,14 19 18.45,+01 50 49.1,PRG
53,SPRC 54,14 39 48.62,+21 46 20.3,PRG
54,SPRC 55,14 43 48.70,+16 09 29.7,PRG
55,SPRC 56,15 11 14.09,+37 02 37.7,PRG
56,SPRC 57,15 11 53.36,+27 43 46.7,PRG
57,SPRC 58,15 38 01.95,+56 42 21.8,PRG
58,SPRC 59,15 38 45.54,+65 27 38.3,PRG
59,SPRC 60,15 47 24.32,+38 55 50.4,PRG
60,SPRC 61,15 49 54.81,+09 49 43.1,PRG
61,SPRC 62,15 51 26.66,+35 10 45.9,PRG
62,SPRC 63,15 51 28.30,+04 30 11.6,PRG
63,SPRC 64,15 58 29.79,+57 05 51.5,PRG
64,SPRC 65,16 16 00.16,+24 21 05.6,PRG
65,SPRC 66,16 31 58.73,+48 17 22.6,PRG
66,SPRC 67,17 17 44.13,+40 41 52.0,PRG
67,SPRC 68,17 50 57.21,+51 25 19.2,PRG
68,SPRC 69,20 48 05.67,+00 04 07.8,PRG
69,SPRC 70,23 42 33.22,+13 33 25.6,PRG
70,SPRC 71,00 05 20.62,+14 34 11.1,PRG
71,SPRC 72,00 13 03.07,+14 24 35.9,PRG
72,SPRC 73,00 32 09.80,+01 08 36.6,PRG
73,SPRC 74,00 48 12.18,-00 12 55.6,PRG
74,SPRC 75,01 07 00.15,+28 45 33.8,PRG
75,SPRC 76,01 21 29.32,+00 37 28.7,PRG
76,SPRC 77,01 58 58.39,-00 29 23.3,PRG
77,SPRC 78,07 32 08.78,+27 27 41.2,PRG
78,SPRC 79,07 33 21.06,+20 21 12.4,PRG
79,SPRC 80,07 47 15.86,+43 35 04.7,PRG
80,SPRC 81,07 48 20.90,+36 04 34.1,PRG
81,SPRC 82,07 52 41.21,+19 43 20.2,PRG
82,SPRC 83,08 00 23.93,+17 31 26.9,PRG
83,SPRC 84,08 11 17.51,+29 30 32.2,PRG
84,SPRC 85,08 14 07.20,+25 14 48.5,PRG
85,SPRC 86,08 23 23.98,+30 53 18.3,PRG
86,SPRC 87,08 42 00.51,+13 12 29.7,PRG
87,SPRC 88,08 56 04.40,+34 42 34.9,PRG
88,SPRC 89,09 07 56.24,+28 26 33.7,PRG
89,SPRC 90,09 43 02.33,-00 48 50.0,PRG
90,SPRC 91,09 57 31.05,+35 33 22.8,PRG
91,SPRC 92,09 58 44.65,+12 59 20.9,PRG
92,SPRC 93,09 59 05.51,+02 38 09.9,PRG
93,SPRC 94,09 59 39.90,+11 24 22.3,PRG
94,SPRC 95,10 05 57.71,+64 40 54.6,PRG
95,SPRC 96,10 06 13.91,+63 13 21.9,PRG
96,SPRC 97,10 17 30.50,+21 21 01.9,PRG
97,SPRC 98,10 18 00.74,+01 21 16.3,PRG
98,SPRC 99,10 34 35.22,+44 46 23.0,PRG
99,SPRC 100,10 35 42.04,+26 07 33.0,PRG
100,SPRC 101,10 36 02.78,+13 10 27.7,PRG
101,SPRC 102,10 41 09.76,+06 49 12.2,PRG
102,SPRC 103,10 43 31.49,+32 15 05.1,PRG
103,SPRC 104,10 45 22.03,+55 57 40.0,PRG
104,SPRC 105,10 48 44.73,+38 46 36.2,PRG
105,SPRC 106,10 52 22.48,+18 07 11.1,PRG
106,SPRC 107,10 54 24.16,+44 30 02.0,PRG
107,SPRC 108,10 55 00.95,+46 30 48.5,PRG
108,SPRC 109,11 08 54.49,+02 40 38.6,PRG
109,SPRC 110,11 09 29.00,-00 00 08.2,PRG
110,SPRC 111,11 17 21.04,+31 14 48.5,PRG
111,SPRC 112,11 19 41.61,+41 01 40.4,PRG
112,SPRC 113,11 35 13.68,+65 01 41.7,PRG
113,SPRC 114,11 35 14.67,+59 49 09.5,PRG
114,SPRC 115,11 43 46.46,+33 42 16.7,PRG
115,SPRC 116,11 45 12.95,+35 05 10.4,PRG
116,SPRC 117,11 51 36.04,+16 39 51.4,PRG
117,SPRC 118,11 52 07.90,+38 01 57.6,PRG
118,SPRC 119,11 52 44.10,+55 43 53.5,PRG
119,SPRC 120,12 03 46.23,+10 27 43.7,PRG
120,SPRC 121,12 15 03.35,+67 02 27.8,PRG
121,SPRC 122,12 18 11.16,+44 09 30.5,PRG
122,SPRC 123,12 46 56.39,+51 36 49.3,PRG
123,SPRC 124,12 50 20.69,+37 56 56.2,PRG
124,SPRC 125,12 57 44.58,+02 41 30.2,PRG
125,SPRC 126,12 58 18.63,+27 18 38.9,PRG
126,SPRC 127,12 58 27.84,+28 58 26.8,PRG
127,SPRC 128,13 18 43.75,+47 43 09.9,PRG
128,SPRC 129,13 23 58.77,-01 45 52.7,PRG
129,SPRC 130,13 33 46.77,+31 34 59.5,PRG
130,SPRC 131,13 34 43.26,+13 02 02.9,PRG
131,SPRC 132,13 45 31.77,+02 58 59.3,PRG
132,SPRC 133,13 47 11.08,+32 53 08.1,PRG
133,SPRC 134,13 50 59.06,+33 43 15.3,PRG
134,SPRC 135,13 57 25.69,+47 27 07.9,PRG
135,SPRC 136,14 04 54.74,+12 42 16.9,PRG
136,SPRC 137,14 09 21.48,+21 48 02.3,PRG
137,SPRC 138,14 10 46.45,+11 51 29.9,PRG
138,SPRC 139,14 11 18.56,+07 23 52.8,PRG
139,SPRC 140,14 11 42.58,+18 40 03.8,PRG
140,SPRC 141,14 20 44.19,+50 00 40.1,PRG
141,SPRC 142,14 22 25.37,+21 08 35.5,PRG
142,SPRC 143,14 24 43.86,+53 51 50.6,PRG
143,SPRC 144,14 25 03.87,+27 29 10.4,PRG
144,SPRC 145,14 28 16.47,+00 00 08.3,PRG
145,SPRC 146,14 32 31.17,+15 29 43.8,PRG
146,SPRC 147,14 41 19.18,+07 47 34.8,PRG
147,SPRC 148,14 41 32.86,+23 42 55.2,PRG
148,SPRC 149,14 46 45.71,+58 30 50.8,PRG
149,SPRC 150,14 48 17.26,+60 18 34.3,PRG
150,SPRC 151,14 51 26.30,+18 01 38.5,PRG
151,SPRC 152,14 53 16.45,+16 32 45.1,PRG
152,SPRC 153,14 54 02.24,+36 17 41.4,PRG
153,SPRC 154,14 57 10.71,+27 56 30.6,PRG
154,SPRC 155,15 06 39.12,+27 00 24.2,PRG
155,SPRC 156,15 16 21.58,+08 06 04.7,PRG
156,SPRC 157,15 24 46.34,+33 48 26.2,PRG
157,SPRC 158,15 25 28.59,+02 46 44.2,PRG
158,SPRC 159,15 30 04.63,+14 57 55.8,PRG
159,SPRC 160,15 33 22.82,+33 29 33.4,PRG
160,SPRC 161,15 36 19.28,+33 46 27.7,PRG
161,SPRC 162,15 37 03.02,+59 06 58.5,PRG
162,SPRC 163,15 44 42.15,+11 21 59.9,PRG
163,SPRC 164,15 47 07.11,+34 25 36.1,PRG
164,SPRC 165,15 49 53.86,+64 14 03.7,PRG
165,SPRC 166,15 52 36.10,+33 11 37.5,PRG
166,SPRC 167,15 56 42.98,+48 02 53.1,PRG
167,SPRC 168,15 57 14.20,+26 28 54.3,PRG
168,SPRC 169,16 00 13.82,+17 50 53.8,PRG
169,SPRC 170,16 02 09.77,+06 38 51.4,PRG
170,SPRC 171,16 05 14.60,+41 11 18.3,PRG
171,SPRC 172,16 18 11.02,+56 44 09.0,PRG
172,SPRC 173,16 21 28.25,+28 38 24.8,PRG
173,SPRC 174,16 22 02.63,+48 01 38.4,PRG
174,SPRC 175,16 27 30.74,+49 06 00.8,PRG
175,SPRC 176,16 32 02.04,+43 11 49.0,PRG
176,SPRC 177,16 33 47.53,+22 48 35.6,PRG
177,SPRC 178,16 36 52.00,+34 15 04.3,PRG
178,SPRC 179,17 03 08.79,+46 22 25.1,PRG
179,SPRC 180,17 04 06.73,+38 52 57.6,PRG
180,SPRC 181,17 08 17.84,+29 53 40.0,PRG
181,SPRC 182,19 33 27.34,+35 49 30.1,PRG
182,SPRC 183,21 37 48.61,-07 40 28.1,PRG
183,SPRC 184,22 08 21.70,+18 27 15.1,PRG
184,SPRC 185,23 12 32.10,-00 06 37.0,PRG
185,SPRC 239,00 16 15.19,-10 14 41.1,PRG
186,SPRC 240,00 34 36.18,-09 35 36.8,PRG
187,SPRC 241,02 41 57.00,-06 47 32.3,PRG
188,SPRC 242,07 35 50.48,+32 35 06.3,PRG
189,SPRC 243,07 53 25.87,+15 06 56.8,PRG
190,SPRC 244,07 58 48.20,+38 21 50.5,PRG
191,SPRC 245,08 05 05.38,+40 10 28.4,PRG
192,SPRC 246,08 08 21.30,+07 17 12.6,PRG
193,SPRC 247,08 12 12.08,+44 39 20.5,PRG
194,SPRC 248,08 24 01.83,+16 26 38.2,PRG
195,SPRC 249,08 47 08.70,+19 37 51.7,PRG
196,SPRC 250,08 47 41.69,+13 25 08.8,PRG
197,SPRC 251,08 49 01.21,+41 11 57.2,PRG
198,SPRC 252,10 24 01.96,+10 19 15.8,PRG
199,SPRC 253,10 43 15.06,+10 02 06.0,PRG
200,SPRC 254,11 01 45.49,+25 26 44.4,PRG
201,SPRC 255,11 02 16.90,+38 23 20.2,PRG
202,SPRC 256,11 10 49.29,+13 36 34.1,PRG
