Object  RA  DEC  z  Class
SPRC 1  00 09 11.58  -00 36 54.7  0.073332  PRG
SPRC 2  00 26 41.51  +25 51 01.7  0.028498  PRG
SPRC 3  00 41 03.44  -09 56 28.1  0.036828  PRG
SPRC 4  02 42 58.43  -00 57 09.2  0.043012  PRG
SPRC 5  03 44 26.15  -05 42 09.6  0.027858  PRG
SPRC 6  07 50 41.63  +50 57 40.1  0.018671  PRG
SPRC 7  07 52 34.32  +29 20 49.7  0.060066  PRG
SPRC 8  07 55 39.63  +18 35 27.3  -  PRG
SPRC 9  08 12 57.83  +22 25 30.0  0.144734  PRG
SPRC 10  08 20 38.19  +15 36 59.8  0.042439  PRG
SPRC 11  08 48 32.01  +32 20 12.5  0.065796  PRG
SPRC 12  09 01 50.14  +52 12 22.6  0.062470  PRG
SPRC 13  09 14 53.66  +49 38 24.0  0.031768  PRG
SPRC 14  09 18 15.97  +20 22 05.3  0.031881  PRG
SPRC 15  09 36 34.63  +21 13 57.8  0.034274  PRG
SPRC 16  09 42 07.35  +36 24 17.2  0.060119  PRG
SPRC 17  09 59 11.85  +16 28 41.5  0.026400  PRG
SPRC 18  10 08 42.82  +14 22 02.1  0.081849  PRG
SPRC 19  10 17 17.50  +41 05 57.7  0.105157  PRG
SPRC 20  10 26 00.41  +04 14 33.0  0.074281  PRG
SPRC 21  10 28 58.56  +31 33 42.2  0.081182  PRG
SPRC 22  10 41 55.66  +07 45 13.9  0.159854  PRG
SPRC 23  10 46 23.65  +06 37 10.1  0.027816  PRG
SPRC 24  11 16 25.11  +56 50 17.0  0.047104  PRG
SPRC 25  11 24 53.65  +21 53 48.9  0.072838  PRG
SPRC 26  11 40 05.50  +06 04 43.7  -  PRG
SPRC 27  11 44 44.02  +23 09 45.0  0.048352  PRG
SPRC 28  11 52 28.30  +05 00 44.7  0.077287  PRG
SPRC 29  11 53 33.56  +47 19 07.3  0.047328  PRG
SPRC 30  12 07 12.69  +07 39 44.5  0.075173  PRG
SPRC 31  12 17 11.51  +31 30 37.8  0.049711  PRG
SPRC 32  12 19 24.16  +64 37 54.0  0.034872  PRG
SPRC 33  12 19 30.57  +14 52 39.5  0.004533  PRG
SPRC 34  12 25 59.80  +15 42 08.5  0.081295  PRG
SPRC 35  12 44 14.99  +17 00 49.2  0.067569  PRG
SPRC 36  12 52 17.80  +12 06 30.3  0.130076  PRG
SPRC 37  12 53 09.76  +49 48 32.5  0.067620  PRG
SPRC 38  13 08 14.92  +28 44 07.5  0.038919  PRG
SPRC 39  13 08 16.92  +45 22 35.2  0.029330  PRG
SPRC 40  13 11 31.46  +36 16 54.6  0.003630  PRG
SPRC 41  13 25 33.22  +27 22 46.7  0.061099  PRG
SPRC 42  13 39 04.59  +02 09 49.5  0.023369  PRG
SPRC 43  13 41 34.83  +37 26 25.7  0.062839  PRG
SPRC 44  13 45 06.11  +27 30 14.3  0.113443  PRG
SPRC 45  13 52 39.38  +01 06 09.1  0.071537  PRG
SPRC 46  13 55 00.36  +24 10 05.7  0.128477  PRG
SPRC 47  13 59 41.70  +25 00 46.1  0.031227  PRG
SPRC 48  14 14 20.82  +27 28 04.4  0.056300  PRG
SPRC 49  14 14 46.25  +30 25 17.8  0.068384  PRG
SPRC 50  14 15 59.68  +19 24 30.6  0.077672  PRG
SPRC 51  14 18 16.05  +20 31 34.3  0.075438  PRG
SPRC 52  14 18 25.60  +25 30 06.7  0.014844  PRG
SPRC 53  14 19 18.45  +01 50 49.1  0.082742  PRG
SPRC 54  14 39 48.62  +21 46 20.3  0.039379  PRG
SPRC 55  14 43 48.70  +16 09 29.7  0.085807  PRG
SPRC 56  15 11 14.09  +37 02 37.7  0.055038  PRG
SPRC 57  15 11 53.36  +27 43 46.7  0.070358  PRG
SPRC 58  15 38 01.95  +56 42 21.8  0.045861  PRG
SPRC 59  15 38 45.54  +65 27 38.3  0.061677  PRG
SPRC 60  15 47 24.32  +38 55 50.4  0.078280  PRG
SPRC 61  15 49 54.81  +09 49 43.1  0.045834  PRG
SPRC 62  15 51 26.66  +35 10 45.9  -  PRG
SPRC 63  15 51 28.30  +04 30 11.6  0.073893  PRG
SPRC 64  15 58 29.79  +57 05 51.5  0.100225  PRG
SPRC 65  16 16 00.16  +24 21 05.6  0.066809  PRG
SPRC 66  16 31 58.73  +48 17 22.6  0.087382  PRG
SPRC 67  17 17 44.13  +40 41 52.0  0.027773  PRG
SPRC 68  17 50 57.21  +51 25 19.2  0.076406  PRG
SPRC 69  20 48 05.67  +00 04 07.8  0.024692  PRG
SPRC 70  23 42 33.22  +13 33 25.6  0.068697  PRG
SPRC 71  00 05 20.62  +14 34 11.1  0.041519  PRG
SPRC 72  00 13 03.07  +14 24 35.9  0.006778  PRG
SPRC 73  00 32 09.80  +01 08 36.6  0.058991  PRG
SPRC 74  00 48 12.18  -00 12 55.6  0.056283  PRG
SPRC 75  01 07 00.15  +28 45 33.8  0.040740  PRG
SPRC 76  01 21 29.32  +00 37 28.7  0.043744  PRG
SPRC 77  01 58 58.39  -00 29 23.3  0.080989  PRG
SPRC 78  07 32 08.78  +27 27 41.2  -  PRG
SPRC 79  07 33 21.06  +20 21 12.4  0.131723  PRG
SPRC 80  07 47 15.86  +43 35 04.7  0.108507  PRG
SPRC 81  07 48 20.90  +36 04 34.1  0.136806  PRG
SPRC 82  07 52 41.21  +19 43 20.2  0.092947  PRG
SPRC 83  08 00 23.93  +17 31 26.9  0.006833  PRG
SPRC 84  08 11 17.51  +29 30 32.2  0.019904  PRG
SPRC 85  08 14 07.20  +25 14 48.5  0.024904  PRG
SPRC 86  08 23 23.98  +30 53 18.3  0.161776  PRG
SPRC 87  08 42 00.51  +13 12 29.7  0.122820  PRG
SPRC 88  08 56 04.40  +34 42 34.9  0.088330  PRG
SPRC 89  09 07 56.24  +28 26 33.7  0.167496  PRG
