,Object,RA,DEC,Class
0,ARP 146,00 06 44.3,-06 38 08,PRG
1,ARP 318,02 09 24.4,-10 08 10,PRG
2,ARP 010,02 18 26.4,+05 39 14,PRG
3,ARP 273,02 21 28.6,+39 22 32,PRG
4,ARP 145,02 23 07.7,+41 21 11,PRG
5,NGC 0985,02 34 37.6,-08 47 15,PRG
6,ARP 118,02 55 12.0,-00 11 03,PRG
7,ARP 147,03 11 18.6,+01 18 51,PRG
8,IC 1908,03 15 05.4,-54 49 09,PRG
9,ESO 200-IG 009,03 21 40.5,-51 39 31,PRG
10,ARP 219,03 39 53.2,-02 06 47,PRG
11,ARP 141,07 14 20.0,+73 28 25,PRG
12,ARP 143,07 46 55.0,+39 00 56,PRG
13,NGC 2793,09 16 47.1,+34 25 56,PRG
14,ARP 142,09 37 44.1,+02 45 39,PRG
15,IC 0614,10 26 51.8,-03 27 53,PRG
16,ARP 107,10 52 14.8,+30 03 28,PRG
17,ARP 148,11 03 52.4,+40 50 54,PRG
18,ARP 335,11 04 23.5,+04 49 44,PRG
19,VII Zw 466,12 32 04.9,+66 24 13,PRG
20,NGC 4774,12 53 06.4,+36 49 10,PRG
21,VV 256,14 00 54.4,+40 59 19,PRG
22,KIG 0686,15 32 56.9,+46 27 07,PRG
23,KIG 0700,15 45 14.8,+00 46 24,PRG
24,ARP 125,16 38 13.9,+41 56 19,PRG
25,ARP 150,23 19 30.0,+09 30 30,PRG
26,ARP 284,23 36 14.2,+02 09 17,PRG
