,Column1,Object,Column3,Column4,Column5,Column6,Column7,RA,DEC,Column10
0,1,00201,00 01 09.1,-82 38 47,O,Spher,"Faint broad ring?, broken?",00 03 37.6,-82 22 04
1,2,00202,00 03 58.5,-83 09 02,P,Ellip,"Polar internal ring?, broad knotty external ring",00 06 20.0,-82 52 20
2,3,00203,00 07 34.9,-82 43 36,P,Spher,"Faint ring?, nucleus in the ring",00 09 49.2,-82 26 54
3,4,01201,00 12 36.7,-78 05 30,P,Ellip,"Faint filamentary ring, nucleus in the ring",00 14 51.7,-77 48 49
4,5,00204,00 14 31.3,-84 36 17,O,SBa(r),Faint broad ring,00 16 18.7,-84 19 37
5,6,00205,00 15 00.2,-83 24 48,O,Sa(R),Bright broad ring,00 16 54.6,-83 08 08
6,7,00206,00 16 44.7,-82 51 25,O,Spher,Faint smooth ring?,00 18 38.2,-82 34 45
7,8,01202,00 20 08.6,-81 04 42,P,SBa(r),"Warped ring, two outer spiral arms, close companion",00 22 03.8,-80 48 04
8,9,00207,00 21 03.2,-82 38 33,P,Ellip,Faint warped ring?,00 22 48.5,-82 21 55
9,10,01203,00 33 59.6,-80 19 21,O,SBa(r),Faint ring,00 35 35.0,-80 02 50
10,11,01204,00 36 52.6,-78 37 01,P,Spher,"Faint ring, knots?, internal ring?, off-center nucleus, faint intruder, one prominent companion",00 38 32.7,-78 20 32
11,12,01205,00 39 30.8,-78 44 35,O,Ellip,Ringed?,00 41 06.5,-78 28 08
12,13,00208,00 51 28.6,-82 29 11,P,Spher,Broken faint ring?,00 52 10.8,-82 12 54
13,14,00209,00 55 50.7,-82 40 10,O,Spindle,"Very faint ring, polar?",00 56 20.9,-82 23 57
14,15,00210,00 57 46.3,-83 41 49,P,Spher,"Two broken spiral arms, or ring?, faint companion at 4 ring diameters",00 57 52.2,-83 25 38
15,16,00211,00 58 38.9,-82 32 45,P,Ellip,"Tight ring?, three close companions",00 59 05.2,-82 16 35
16,17,01303,01 07 34.1,-79 10 14,P,Spher,"Narrow warped ring, closed companions, off-center nucleus",01 08 27.0,-78 54 15
17,18,00212,01 26 23.0,-84 58 18,P,Ellip,"Faint broken ring?, two faint external arms, close companion",01 24 27.2,-84 42 44
18,19,00213,01 36 14.6,-85 24 04,O,SBa(r),Faint smooth ring,01 33 23.4,-85 08 46
19,20,01304,01 40 28.5,-79 18 41,P,Ellip,"Smooth ring, off-center nucleus, interacting companion?",01 40 33.7,-79 03 33
20,21,01401,01 54 41.5,-81 47 23,P,Sa(r),"Faint broad ring, close companion",01 53 37.3,-81 32 42
21,22,01301,01 41 05.1,-79 30 59,O,Spher,Faint broad ring,01 41 06.5,-79 15 52,22
22,23,01302,01 41 42.9,-79 24 33,O,Sa(r),Two tight arms forming the ring?,01 41 45.0,-79 09 28
