Object,RA,DEC,Class
HRG 00201,00 03 37.6,-82 22 04,PRG
HRG 00202,00 06 20.0,-82 52 20,PRG
HRG 00203,00 09 49.2,-82 26 54,PRG
HRG 01201,00 14 51.7,-77 48 49,PRG
HRG 00204,00 16 18.7,-84 19 37,NRG
HRG 00205,00 16 54.6,-83 08 08,NRG
HRG 00206,00 18 38.2,-82 34 45,PRG
HRG 01202,00 22 03.8,-80 48 04,NRG
HRG 00207,00 22 48.5,-82 21 55,PRG
HRG 01203,00 35 35.0,-80 02 50,NRG
HRG 01204,00 38 32.7,-78 20 32,PRG
HRG 01205,00 41 06.5,-78 28 08,PRG
HRG 00208,00 52 10.8,-82 12 54,PRG
HRG 00209,00 56 20.9,-82 23 57,PRG
HRG 00210,00 57 52.2,-83 25 38,PRG
HRG 00211,00 59 05.2,-82 16 35,PRG
HRG 01303,01 08 27.0,-78 54 15,PRG
HRG 00212,01 24 27.2,-84 42 44,PRG
HRG 00213,01 33 23.4,-85 08 46,NRG
HRG 01304,01 40 33.7,-79 03 33,PRG
HRG 01401,01 53 37.3,-81 32 42,NRG
HRG 01301,01 41 06.5,-79 15 52,PRG
HRG 01302,01 41 45.0,-79 09 28,NRG
HRG 00302,02 14 54.5,-83 42 31,PRG
HRG 00303,02 20 58.1,-82 54 46,PRG
HRG 01305,02 23 45.4,-81 48 52,NRG
HRG 01402,02 38 53.1,-82 12 21,NRG
HRG 01403,02 48 52.4,-79 14 22,NRG
HRG 00304,02 56 56.3,-82 36 00,PRG
HRG 01404,03 49 47.3,-81 59 28,PRG
HRG 00405,03 44 25.6,-85 44 34,NRG
HRG 00305,03 52 06.3,-83 49 54,NRG
HRG 01501,04 04 08.5,-82 20 26,NRG
HRG 00401,04 19 34.9,-84 46 49,PRG
HRG 00402,04 42 51.8,-85 28 49,PRG
HRG 01601,04 53 08.4,-81 54 12,PRG
HRG 00403,04 53 44.2,-82 14 37,PRG
HRG 00503,04 52 39.1,-85 52 19,PRG
HRG 01503,05 08 34.0,-77 18 00,NRG
HRG 00404,05 02 32.0,-86 03 01,PRG
HRG 01602,05 32 03.6,-78 47 28,NRG
HRG 01603,05 33 31.9,-77 28 32,PRG
HRG 00504,05 20 38.2,-86 49 26,PRG
HRG 00505,05 26 50.2,-85 49 42,PRG
HRG 00406,05 29 32.3,-85 55 50,PRG
HRG 01604,05 40 05.6,-81 58 58,PRG
HRG 01605,05 47 06.2,-80 18 36,PRG
HRG 00506,06 17 20.9,-82 48 02,PRG
HRG 00507,06 25 49.4,-85 05 51,PRG
HRG 00501,06 25 05.4,-87 29 36,PRG
HRG 00502,06 24 14.6,-87 34 31,NRG
HRG 00509,06 39 46.8,-85 20 10,PRG
HRG 01701,07 27 32.6,-81 15 39,NRG
HRG 01702,07 40 12.1,-80 36 44,PRG
HRG 01703,07 47 26.5,-78 08 52,NRG
HRG 00510,07 49 40.8,-84 11 22,PRG
HRG 00511,07 59 04.6,-82 48 41,PRG
HRG 00512,08 07 43.1,-82 19 11,PRG
HRG 00513,08 08 58.1,-82 37 32,PRG
HRG 01704,08 12 04.9,-79 22 38,PRG
HRG 01705,08 12 45.0,-79 53 23,PRG
HRG 00514,08 14 41.6,-83 37 38,PRG
HRG 01801,08 23 07.9,-77 51 21,NRG
HRG 00601,09 01 57.0,-82 50 59,PRG
HRG 01802,09 15 28.5,-80 13 24,NRG
HRG 01803,09 35 00.9,-78 13 07,PRG
HRG 01901,10 11 08.4,-82 37 54,PRG
HRG 01902,10 28 04.8,-81 46 23,NRG
HRG 00701,11 02 15.5,-83 25 56,PRG
HRG 00702,11 14 04.9,-84 16 21,PRG
HRG 00703,11 14 15.2,-84 18 19,PRG
HRG 00704,11 15 14.8,-84 17 20,PRG
HRG 00705,11 17 24.5,-82 49 39,PRG
HRG 00706,11 42 55.5,-83 25 11,NRG
HRG 00602,11 44 05.5,-85 40 55,PRG
HRG 00707,12 37 13.7,-84 02 28,PRG
HRG 00708,13 32 52.6,-87 08 37,PRG
HRG 00802,13 36 14.1,-84 20 53,PRG
HRG 02101,13 47 06.8,-80 46 50,NRG
HRG 02201,14 38 10.1,-79 19 22,NRG
HRG 02202,14 40 22.4,-78 48 32,PRG
HRG 02203,15 04 27.4,-80 06 06,PRG
HRG 00901,15 35 36.6,-86 32 48,NRG
HRG 00801,15 44 44.1,-82 49 28,NRG
HRG 00803,16 06 04.5,-85 38 22,NRG
HRG 00902,16 15 58.2,-83 14 33,PRG
HRG 00804,16 19 33.2,-84 47 04,PRG
HRG 00903,16 21 58.4,-82 32 09,NRG
HRG 00904,16 22 11.9,-82 29 25,NRG
HRG 02301,16 28 03.7,-78 28 04,NRG
HRG 02302,16 32 35.7,-81 05 40,PRG
HRG 02303,16 31 42.9,-78 27 12,PRG
HRG 00905,16 50 15.0,-84 28 58,PRG
HRG 02304,16 54 41.1,-80 03 54,PRG
HRG 00906,17 35 01.4,-86 22 35,PRG
HRG 02401,17 49 12.5,-79 02 03,PRG
HRG 02402,18 30 44.6,-78 50 41,PRG
HRG 02403,18 40 22.6,-82 03 16,PRG
HRG 02404,18 38 15.4,-77 31 57,NRG
HRG 02405,18 54 41.1,-78 53 59,NRG
HRG 01001,19 04 39.6,-85 18 56,NRG
HRG 02406,18 58 47.8,-79 33 58,NRG
HRG 01002,19 11 36.4,-83 00 21,PRG
HRG 01003,19 20 13.5,-84 47 33,PRG
HRG 02502,19 20 56.0,-78 26 35,NRG
HRG 02503,19 33 19.8,-77 54 52,NRG
HRG 01004,19 48 15.6,-83 04 58,NRG
HRG 01005,19 50 19.5,-82 34 21,PRG
HRG 01006,19 56 47.4,-82 41 00,PRG
HRG 01007,20 10 13.3,-86 51 14,PRG
HRG 02504,20 11 13.6,-78 51 04,PRG
HRG 02601,20 24 58.8,-81 34 35,NRG
HRG 01008,20 33 50.9,-84 40 22,PRG
HRG 02602,20 58 31.6,-79 44 30,PRG
HRG 02603,21 36 08.0,-77 27 40,NRG
HRG 00214,21 59 03.8,-84 57 00,PRG
HRG 02701,22 26 34.7,-81 13 25,NRG
HRG 02703,22 31 03.5,-81 05 26,PRG
HRG 02704,22 32 50.6,-78 47 52,PRG
HRG 00215,22 51 01.2,-82 05 09,PRG
HRG 01102,22 51 30.5,-84 07 38,PRG
HRG 01103,22 53 20.0,-84 07 13,PRG
HRG 00216,23 02 23.1,-84 04 13,NRG
HRG 02702,23 11 40.9,-80 36 28,NRG
