Object,RA,DEC,Class
A 2358-2604,00 01 15.79,-25 48 07.67,PRG
HRG 00201,00 03 42.70,-82 22 06.00,PRG
HRG 00203,00 05 49.93,-82 20 02.24,PRG
OA 00101,00 05 50.36,-82 20 02.54,PRG
OA 00102,00 06 42.05,-82 20 28.40,PRG
HRG 00202,00 08 19.53,-82 50 34.04,PRG
AM 0009-371,00 11 36.80,-36 56 10.75,PRG
HRG 00204,00 12 36.51,-84 11 22.37,PRG
HRG 01201,00 14 50.12,-77 48 48.24,PRG
HRG 35001,00 18 04.38,-33 52 28.04,PRG
HRG 00205,00 18 24.50,-83 06 36.88,PRG
HRG 00206,00 20 12.88,-82 33 04.09,PRG
HRG 29401,00 20 14.18,-39 55 19.38,PRG
HRG 01202,00 22 07.98,-80 47 57.83,PRG
OA 00103,00 24 48.30,-82 10 49.86,PRG
OA 02001,00 27 04.06,-40 57 03.70,PRG
HRG 29402,00 27 09.03,-40 59 02.81,PRG
ESO 012-IG19,00 33 00.38,-78 12 44.02,PRG
HRG 35002,00 37 40.82,-33 42 58.31,PRG
ESO 79-G05,00 40 43.55,-63 26 28.27,PRG
NGC 232,00 42 45.62,-23 33 40.20,PRG
ESO 474-G16,00 42 52.55,-23 32 25.73,PRG
Arp 230,00 46 24.12,-13 26 32.71,PRG
AM 0044-521,00 47 01.40,-52 03 03.02,PRG
OA 03202,00 47 03.27,-24 21 20.19,PRG
ESO 474-G26,00 47 07.38,-24 22 13.72,PRG
AM 0045-230,00 47 34.61,-22 47 59.24,PRG
HRG 19501,00 48 21.34,-47 52 20.31,PRG
OA 01401,00 48 59.98,-47 47 11.22,PRG
OA 01402,00 49 00.09,-47 47 12.76,PRG
OA 02801,00 51 44.41,-30 37 27.60,PRG
HRG 41101,00 51 51.66,-30 40 00.21,PRG
HRG 00208,00 52 37.76,-82 12 15.13,PRG
A 0051-1323,00 53 30.30,-13 06 44.88,PRG
AM 0051-271,00 53 43.4500,-27 02 59.000,PRG
AM 0051-234,00 54 20.36,-23 33 07.03,PRG
FM 351-12,00 56 19.24,-35 14 51.65,PRG
HRG 00209,00 56 39.08,-82 23 34.45,PRG
HRG 00211,00 56 39.12,-82 23 34.73,PRG
HRG 41102,00 56 52.17,-31 57 46.07,PRG
OA 02802,00 57 00.58,-31 55 07.56,PRG
ESO 113-IG04,01 00 34.14,-57 44 53.64,PRG
AM 0058-311,01 00 44.47,-30 55 48.25,PRG
OA 01701,01 01 56.41,-47 03 11.18,PRG
OA 00108,01 02 46.93,-82 22 50.54,PRG
HRG 19502,01 02 49.01,-47 11 08.29,PRG
HRG 19503,01 03 31.55,-47 01 26.28,PRG
HRG 19504,01 04 56.59,-47 11 08.61,PRG
HRG 54101,01 05 10.23,-22 03 25.94,PRG
HRG 19505,01 05 20.21,-47 12 01.55,PRG
HRG 19506,01 05 43.09,-47 09 46.63,PRG
HRG 19507,01 05 45.67,-47 07 29.01,PRG
A 0103-3044,01 06 10.29,-30 28 26.98,PRG
HRG 19508,01 06 45.15,-47 20 14.48,PRG
HRG 11301,01 07 30.62,-61 20 18.94,PRG
HRG 19509,01 08 11.39,-47 08 07.94,PRG
HRG 19510,01 08 18.63,-47 04 17.82,PRG
HRG 01303,01 08 27.27,-79 04 42.68,PRG
HRG 19511,01 08 52.37,-47 08 46.82,PRG
HRG 19512,01 09 55.38,-46 59 30.44,PRG
OA 02701,01 12 26.53,-19 01 18.38,PRG
HRG 54102,01 12 33.62,-19 00 52.50,PRG
OA 02702,01 13 04.50,-18 59 47.73,PRG
OA 02703,01 13 07.99,-19 00 03.08,PRG
NGC 442,01 14 38.65,-01 01 12.68,PRG
HRG 35201,01 15 00.60,-32 14 35.73,PRG
A 0113-5442,01 15 28.54,-54 26 51.76,PRG
HRG 19513,01 15 55.18,-50 11 21.58,PRG
FM 412-16,01 16 05.79,-32 29 28.12,PRG
HRG 54103,01 18 44.36,-19 37 36.33,PRG
HRG 19514,01 19 28.20,-51 46 45.90,PRG
ESO 296-G11,01 19 57.40,-41 14 04.49,PRG
HRG 00212,01 23 26.89,-84 44 13.07,PRG
OA 02001,01 26 44.80,-38 39 23.25,PRG
AM 0126-680,01 28 02.89,-67 50 35.28,PRG
ESO 152-IG3,01 28 25.07,-52 38 08.31,PRG
HRG 47601,01 30 49.06,-27 21 49.28,PRG
HRG 00213,01 31 58.26,-85 10 37.42,PRG
NGC 625,01 35 03.28,-41 26 12.64,PRG
OA 00105,01 36 42.09,-79 14 53.03,PRG
A 0136-0801,01 38 55.12,-07 45 54.87,PRG
HRG 01304,01 40 32.21,-79 03 52.54,PRG
HRG 01301,01 41 06.59,-79 15 53.11,PRG
HRG 01302,01 41 44.53,-79 09 29.15,PRG
AM 0141-362,01 43 44.27,-36 05 17.38,PRG
FM 197-8,01 50 28.53,-47 09 56.78,PRG
FM 3-5,01 52 40.49,-81 37 50.03,PRG
HRG 05201,01 53 29.57,-72 33 37.33,PRG
HRG 01401,01 53 34.12,-81 32 40.02,PRG
A 0153-3034,01 55 24.12,-30 19 24.09,PRG
OA 00801,02 01 44.80,-58 24 55.47,PRG
HRG 11401,02 01 45.29,-58 22 36.91,PRG
OA 00802,02 02 01.95,-58 23 09.38,PRG
OA 00803,02 02 24.64,-58 29 51.56,PRG
FM 298-9,02 09 44.20,-37 33 02.79,PRG
AM 0212-250,02 14 49.07,-24 51 01.67,PRG
HRG 00302,02 14 49.75,-83 42 15.94,PRG
OA 00105,02 17 02.71,-83 43 43.30,PRG
FM 197-28,02 17 16.22,-48 42 47.92,PRG
HRG 00303,02 20 53.42,-82 54 30.48,PRG
HRG 03001,02 23 39.15,-76 34 36.51,PRG
HRG 01305,02 23 57.97,-81 48 32.52,PRG
AM 0226-320,02 28 20.06,-31 52 50.09,PRG
